,Country,Ipl_Team,Name,URL
60,India,Mohali,Manan Vohra,http://www.espncricinfo.com/indian-premier-league-2016/content/player/532856.html
61,India,Kolkata,Gautam Gambhir,http://www.espncricinfo.com/indian-premier-league-2016/content/player/28763.html
62,India,Kolkata,Piyush Chawla,http://www.espncricinfo.com/indian-premier-league-2016/content/player/32966.html
63,Australia,Kolkata,John Hastings,http://www.espncricinfo.com/indian-premier-league-2016/content/player/228622.html
64,Australia,Kolkata,Brad Hogg,http://www.espncricinfo.com/indian-premier-league-2016/content/player/5681.html
65,West Indies,Kolkata,Jason Holder,http://www.espncricinfo.com/indian-premier-league-2016/content/player/391485.html
66,India,Kolkata,Sheldon Jackson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/237696.html
67,India,Kolkata,Kuldeep Yadav,http://www.espncricinfo.com/indian-premier-league-2016/content/player/559235.html
68,Australia,Kolkata,Chris Lynn,http://www.espncricinfo.com/indian-premier-league-2016/content/player/326637.html
69,India,Kolkata,Manan Sharma,http://www.espncricinfo.com/indian-premier-league-2016/content/player/339955.html
70,South Africa,Kolkata,Morne Morkel,http://www.espncricinfo.com/indian-premier-league-2016/content/player/46538.html
71,New Zealand,Kolkata,Colin Munro,http://www.espncricinfo.com/indian-premier-league-2016/content/player/232359.html
72,West Indies,Kolkata,Sunil Narine,http://www.espncricinfo.com/indian-premier-league-2016/content/player/230558.html
73,India,Kolkata,Manish Pandey,http://www.espncricinfo.com/indian-premier-league-2016/content/player/290630.html
74,India,Kolkata,Yusuf Pathan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/32498.html
75,West Indies,Kolkata,Andre Russell,http://www.espncricinfo.com/indian-premier-league-2016/content/player/276298.html
76,India,Kolkata,Rajagopal Sathish,http://www.espncricinfo.com/indian-premier-league-2016/content/player/33870.html
77,Bangladesh,Kolkata,Shakib Al Hasan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/56143.html
78,India,Kolkata,Jaydev Unadkat,http://www.espncricinfo.com/indian-premier-league-2016/content/player/390484.html
79,India,Kolkata,Robin Uthappa,http://www.espncricinfo.com/indian-premier-league-2016/content/player/35582.html
80,India,Kolkata,Suryakumar Yadav,http://www.espncricinfo.com/indian-premier-league-2016/content/player/446507.html
81,India,Kolkata,Umesh Yadav,http://www.espncricinfo.com/indian-premier-league-2016/content/player/376116.html
82,India,Mumbai,Rohit Sharma,http://www.espncricinfo.com/indian-premier-league-2016/content/player/34102.html
83,New Zealand,Mumbai,Corey Anderson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277662.html
84,India,Mumbai,Jasprit Bumrah,http://www.espncricinfo.com/indian-premier-league-2016/content/player/625383.html
85,England,Mumbai,Jos Buttler,http://www.espncricinfo.com/indian-premier-league-2016/content/player/308967.html
86,India,Mumbai,Unmukt Chand,http://www.espncricinfo.com/indian-premier-league-2016/content/player/446499.html
87,South Africa,Mumbai,Marchant de Lange,http://www.espncricinfo.com/indian-premier-league-2016/content/player/393279.html
88,India,Mumbai,Shreyas Gopal,http://www.espncricinfo.com/indian-premier-league-2016/content/player/344580.html
89,India,Mumbai,Harbhajan Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/29264.html
90,New Zealand,Mumbai,Mitchell McClenaghan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/319439.html
91,Sri Lanka,Mumbai,Lasith Malinga,http://www.espncricinfo.com/indian-premier-league-2016/content/player/49758.html
92,India,Mumbai,Hardik Pandya,http://www.espncricinfo.com/indian-premier-league-2016/content/player/625371.html
93,India,Mumbai,Parthiv Patel,http://www.espncricinfo.com/indian-premier-league-2016/content/player/32242.html
94,West Indies,Mumbai,Kieron Pollard,http://www.espncricinfo.com/indian-premier-league-2016/content/player/230559.html
95,India,Mumbai,Ambati Rayudu,http://www.espncricinfo.com/indian-premier-league-2016/content/player/33141.html
96,West Indies,Mumbai,Lendl Simmons,http://www.espncricinfo.com/indian-premier-league-2016/content/player/53116.html
97,India,Mumbai,Nathu Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/853259.html
98,New Zealand,Mumbai,Tim Southee,http://www.espncricinfo.com/indian-premier-league-2016/content/player/232364.html
99,India,Mumbai,Vinay Kumar,http://www.espncricinfo.com/indian-premier-league-2016/content/player/35731.html
100,India,Mumbai,Akshay Wakhare,http://www.espncricinfo.com/indian-premier-league-2016/content/player/269520.html
101,India,Rising-Pune,MS Dhoni,http://www.espncricinfo.com/indian-premier-league-2016/content/player/28081.html
102,India,Rising-Pune,Ankit Sharma,http://www.espncricinfo.com/indian-premier-league-2016/content/player/422992.html
103,India,Rising-Pune,Baba Aparajith,http://www.espncricinfo.com/indian-premier-league-2016/content/player/477071.html
